Algorithm,Agents,SuccessCount,Total,SuccessRate

BBMOCBS-eps,5,46,25,1
BBMOCBS-eps,10,23,25,0.92
BBMOCBS-eps,15,3,25,0.12
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,28,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,25,25,1
BBMOCBS-pex,10,24,25,0.96
BBMOCBS-pex,15,17,25,0.68
BBMOCBS-pex,20,5,25,0.2
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,28,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

BBMOCBS-k,5,25,25,1
BBMOCBS-k,10,25,25,1
BBMOCBS-k,15,24,25,0.96
BBMOCBS-k,20,20,25,0.8
BBMOCBS-k,25,9,25,0.36
BBMOCBS-k,28,5,25,0.2
BBMOCBS-k,30,1,25,0.04
BBMOCBS-k,35,0,25,0

LCBS,5,25,25,1
LCBS,10,25,25,1
LCBS,15,25,25,1
LCBS,20,23,25,0.92
LCBS,25,16,25,0.64
LCBS,28,9,25,0.36
LCBS,30,5,25,0.2
LCBS,35,0,25,0
