Algorithm,Agents,SuccessCount,Total,SuccessRate

LCBS -k 1,5,2,25,0.28
LCBS -k 1,10,0,25,0.16
LCBS -k 1,15,0,25,0.08
LCBS -k 1,20,0,25,0
LCBS -k 1,25,0,25,0
LCBS -k 1,30,0,25,0
LCBS -k 1,35,0,25,0

BBMOCBS-k -k 1,5,0,25,0
BBMOCBS-k -k 1,10,0,25,0
BBMOCBS-k -k 1,15,0,25,0
BBMOCBS-k -k 1,20,0,25,0
BBMOCBS-k -k 1,25,0,25,0
BBMOCBS-k -k 1,30,0,25,0
BBMOCBS-k -k 1,35,0,25,0

BBMOCBS-k -k 5,5,0,25,0
BBMOCBS-k -k 5,10,0,25,0
BBMOCBS-k -k 5,15,0,25,0
BBMOCBS-k -k 5,20,0,25,0
BBMOCBS-k -k 5,25,0,25,0
BBMOCBS-k -k 5,30,0,25,0
BBMOCBS-k -k 5,35,0,25,0

BBMOCBS-k -k 10,5,0,25,0
BBMOCBS-k -k 10,10,0,25,0
BBMOCBS-k -k 10,15,0,25,0
BBMOCBS-k -k 10,20,0,25,0
BBMOCBS-k -k 10,25,0,25,0
BBMOCBS-k -k 10,30,0,25,0
BBMOCBS-k -k 10,35,0,25,0

BBMOCBS-eps,5,0,25,0
BBMOCBS-eps,10,0,25,0
BBMOCBS-eps,15,0,25,0
BBMOCBS-eps,20,0,25,0
BBMOCBS-eps,25,0,25,0
BBMOCBS-eps,30,0,25,0
BBMOCBS-eps,35,0,25,0

BBMOCBS-pex,5,0,25,0
BBMOCBS-pex,10,0,25,0
BBMOCBS-pex,15,0,25,0
BBMOCBS-pex,20,0,25,0
BBMOCBS-pex,25,0,25,0
BBMOCBS-pex,30,0,25,0
BBMOCBS-pex,35,0,25,0

